Row,Corpus,Sample ID,Child ID,Gender,CaregiverBA/BS,AgeMonths
1,Bergelson,B-01,1,female,yes,6
3,Bergelson,B-02,2,male,yes,8
5,Bergelson,B-03,3,male,yes,15
7,Bergelson,B-04,4,male,no,14
9,Bergelson,B-06,6,female,yes,9
11,Bergelson,B-07,7,male,yes,17
13,Bergelson,B-08,8,female,yes,11
15,Bergelson,B-09,9,male,yes,13
17,Bergelson,B-10,10,female,yes,12
19,Bergelson,B-11,11,male,yes,17
21,Bergelson,B-12,12,male,no,13
23,Bergelson,B-13,13,male,yes,10
25,Bergelson,B-14,14,female,yes,13
27,Bergelson,B-15,15,male,yes,6
29,Bergelson,B-16,16,male,yes,16
31,Bergelson,B-17,17,female,yes,16
33,Bergelson,B-18,18,male,no,10
35,Bergelson,B-19,19,female,yes,12
37,Bergelson,B-20,20,female,no,16
39,Bergelson,B-21,21,male,yes,6
41,Bergelson,B-22,22,female,yes,16
43,Bergelson,B-23,23,male,no,8
45,Bergelson,B-25,25,male,yes,15
47,Bergelson,B-26,26,female,no,11
49,Bergelson,B-27,27,male,yes,14
51,Bergelson,B-28,28,female,yes,10
53,Bergelson,B-29,29,female,yes,13
55,Bergelson,B-30,30,male,yes,14
57,Bergelson,B-31,31,female,yes,13
59,Bergelson,B-32,32,female,yes,7
61,Bergelson,B-33,33,male,yes,15
63,Bergelson,B-34,34,male,no,17
65,Bergelson,B-35,35,female,no,15
67,Bergelson,B-36,36,female,yes,7
69,Bergelson,B-37,37,male,yes,6
71,Bergelson,B-38,38,female,yes,12
73,Bergelson,B-39,39,female,no,10
75,Bergelson,B-40,40,male,yes,7
77,Bergelson,B-41,41,male,yes,9
79,Bergelson,B-42,42,female,yes,17
81,Bergelson,B-43,43,female,no,11
83,Bergelson,B-44,44,female,no,12
85,Bergelson,B-45,45,male,yes,9
87,Bergelson,B-46,46,male,yes,9
89,McDivitt,M-101,101,male,no,12
91,McDivitt,M-102,102,female,no,7
94,McDivitt,M-103,103,male,no,19
95,McDivitt,M-104,104,female,no,19
96,McDivitt,M-105,105,female,no,8
98,McDivitt,M-106,106,female,no,4
100,McDivitt,M-107,107,female,no,10
102,VanDam2,V-S1MA,S1MA,male,yes,14
103,VanDam2,V-S1RJ,S1RJ,female,yes,18
105,VanDam2,V-S1VL,S1VL,male,yes,5
107,Warlaumont,W-204,204,male,yes,3
109,Warlaumont,W-274,274,female,yes,2
111,Warlaumont,W-340,340,female,yes,3
113,Warlaumont,W-747,747,male,yes,3
115,Warlaumont,W-848,848,male,yes,3
116,Warlaumont,W-955,955,male,yes,3
117,Warlaumont,W-973,973,male,yes,9
