corpus,sample_id,AWC,CTC,CVC,cds.min,ID.h,ID.N,aclew_id,Row,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob,mat_ed_num,mat_ed_num3,n_sibs,agem.c,age.bin,age.qrt,cds.minph,cds.minph.lg,ads.minph,ads.min,prp.cds
Bergelson,B-01,14096,377,1213,5.1425,0.3323333333333333,19,9803,1,1,female,yes,6,AD,1,32,5,3,1,-4.836065573770492,0,2,15.47392176529589,2.80177863152732,9.888665997993982,3.2863333333333333,0.610108160480889
Bergelson,B-02,20115,575,1864,4.998333333333333,0.3721666666666667,20,0673,3,2,male,yes,8,AD,1,32,5,3,1,-2.836065573770492,0,2,13.430362740707567,2.669334510425999,8.648454993282579,3.2186666666666666,0.6082917528700661
Bergelson,B-03,9239,309,1982,0.9713333333333334,0.15583333333333332,20,8204,5,3,male,yes,15,BA,1,32,4,2,1,4.163934426229508,1,3,6.233155080213905,1.978675328286253,0.10695187165775402,0.016666666666666666,0.9831309041835358
Bergelson,B-04,16993,521,1634,1.2898333333333334,0.2465,20,2101,7,4,male,no,14,SC,4,35,3,1,2,3.163934426229508,1,3,5.232589587559162,1.8297919105696538,2.6024340770791072,0.6415,0.667846047635485
Bergelson,B-06,11969,151,565,1.2308333333333332,0.13333333333333333,20,8638,9,6,female,yes,9,AD,0,32,5,3,0,-1.836065573770492,0,2,9.23125,2.325446762137308,1.54625,0.20616666666666666,0.8565298074692647
Bergelson,B-07,24483,463,1168,2.0286666666666666,0.1685,20,6937,11,7,male,yes,17,AD,0,30,5,3,0,6.163934426229508,1,3,12.039564787339266,2.5679881807374985,10.254203758654796,1.7278333333333333,0.5400417054882648
Bergelson,B-08,38610,412,946,2.5921666666666665,0.19016666666666668,20,6563,13,8,female,yes,11,AD,0,32,5,3,0,0.16393442622950793,0,2,13.631025416301489,2.683144302548606,17.706397896581947,3.367166666666667,0.4349759480926278
Bergelson,B-09,12712,461,1440,2.6085,0.1845,20,1401,15,9,male,yes,13,BA,0,34,4,2,0,2.163934426229508,1,3,14.13821138211382,2.7172221024645946,1.9819331526648598,0.36566666666666664,0.8770523956290277
Bergelson,B-10,19936,412,1270,1.2526666666666666,0.1205,20,5242,17,10,female,yes,12,AD,1,31,5,3,1,1.163934426229508,1,3,10.395573997233749,2.4332250341568256,6.467496542185339,0.7793333333333333,0.6164698162729659
Bergelson,B-11,19659,744,2282,1.2988333333333333,0.16716666666666669,20,7392,19,11,male,yes,17,AD,0,31,5,3,0,6.163934426229508,1,3,7.769690927218344,2.171301563712716,11.347956131605184,1.897,0.40641460234680576
Bergelson,B-12,27923,301,632,3.616,0.24266666666666667,20,4622,21,12,male,no,13,SC,0,35,3,1,0,2.163934426229508,1,3,14.901098901098901,2.7663882201146337,4.76304945054945,1.1558333333333333,0.757780028640285
Bergelson,B-13,13365,164,548,1.0691666666666666,0.11716666666666667,20,1208,23,13,male,yes,10,AD,2,36,5,3,2,-0.8360655737704921,0,2,9.125177809388335,2.315025174259473,12.096728307254622,1.4173333333333333,0.4299886051343924
Bergelson,B-14,17523,524,1889,1.512,0.12966666666666668,19,2927,25,14,female,yes,13,BA,1,37,4,2,1,2.163934426229508,1,3,11.660668380462724,2.5385002099877427,4.556555269922878,0.5908333333333333,0.7190298803202029
Bergelson,B-15,22697,511,2038,7.0536666666666665,0.31966666666666665,20,5480,27,15,male,yes,6,BA,2,41,4,2,2,-4.836065573770492,0,2,22.065693430656935,3.138346380752833,3.0349322210636083,0.9701666666666667,0.8790893795567373
