aclew_id,Row,Corpus,ID,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob
NA,102,VanDam2,V-S1MA,S1MA,male,yes,17,MA,0,20
NA,103,VanDam2,V-S1RJ,S1RJ,female,yes,19,MA,1,30
NA,105,VanDam2,V-S1VL,S1VL,male,yes,5,BA,0,20
